LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
15m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-r2z45
15m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled down replica set web-deployment-76ddf5fcf9 from 3 to 2
15m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-ddd46bfd from 3 to 4
15m         Normal    Started             pod/web-deployment-ddd46bfd-pzmch      Container started
15m         Normal    Scheduled           pod/web-deployment-ddd46bfd-rdbw6      Successfully assigned dso202-practical-01/web-deployment-ddd46bfd-rdbw6 to worker-node-1
15m         Normal    Pulled              pod/web-deployment-ddd46bfd-rdbw6      Container image "nginx:1.31-alpine" already present on machine and can be accessed by the pod
15m         Normal    Created             pod/web-deployment-ddd46bfd-rdbw6      Container created
15m         Normal    Started             pod/web-deployment-ddd46bfd-rdbw6      Container started
15m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled down replica set web-deployment-76ddf5fcf9 from 2 to 1
15m         Normal    Killing             pod/web-deployment-76ddf5fcf9-9c7fw    Stopping container web
15m         Normal    SuccessfulCreate    replicaset/web-deployment-ddd46bfd     Created pod: web-deployment-ddd46bfd-rdbw6
15m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-9c7fw
15m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-xf4r9
15m         Normal    Killing             pod/web-deployment-76ddf5fcf9-xf4r9    Stopping container web
13m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-nvnkj
13m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-nvnkj    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-nvnkj to worker-node-1
13m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-nvnkj    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
13m         Normal    Created             pod/web-deployment-76ddf5fcf9-nvnkj    Container created
13m         Normal    Started             pod/web-deployment-76ddf5fcf9-nvnkj    Container started
